location;date;total_cases;new_cases;total_deaths;new_deaths;reproduction_rate;icu_patients;hosp_patients;total_tests;total_vaccinations;people_vaccinated;people_fully_vaccinated
USA;3/01/2020;;0.0;;0.0;;;;;;;
USA;4/01/2020;;0.0;;0.0;;;;;;;
USA;5/01/2020;;0.0;;0.0;;;;;;;
USA;6/01/2020;;0.0;;0.0;;;;;;;
USA;7/01/2020;;0.0;;0.0;;;;;;;
USA;8/01/2020;;0.0;;0.0;;;;;;;
USA;9/01/2020;;0.0;;0.0;;;;;;;
USA;10/01/2020;;0.0;;0.0;;;;;;;
USA;11/01/2020;;0.0;;0.0;;;;;;;
USA;12/01/2020;;0.0;;0.0;;;;;;;
USA;13/01/2020;;0.0;;0.0;;;;;;;
USA;14/01/2020;;0.0;;0.0;;;;;;;
USA;15/01/2020;;0.0;;0.0;;;;;;;
USA;16/01/2020;;0.0;;0.0;;;;;;;
USA;17/01/2020;;0.0;;0.0;;;;;;;
USA;18/01/2020;;0.0;;0.0;;;;;;;
USA;19/01/2020;;0.0;;0.0;;;;;;;
USA;20/01/2020;1.0;1.0;;0.0;;;;;;;
USA;21/01/2020;1.0;0.0;;0.0;;;;;;;
USA;22/01/2020;1.0;0.0;;0.0;;;;;;;
USA;23/01/2020;1.0;0.0;;0.0;;;;;;;
USA;24/01/2020;1.0;0.0;;0.0;;;;;;;
USA;25/01/2020;6.0;5.0;;0.0;;;;;;;
USA;26/01/2020;7.0;1.0;;0.0;;;;;;;
USA;27/01/2020;7.0;0.0;;0.0;;;;;;;
USA;28/01/2020;8.0;1.0;;0.0;;;;;;;
USA;29/01/2020;8.0;0.0;;0.0;;;;;;;
USA;30/01/2020;8.0;0.0;;0.0;;;;;;;
USA;31/01/2020;8.0;0.0;;0.0;;;;;;;
USA;1/02/2020;8.0;0.0;;0.0;;;;;;;
USA;2/02/2020;9.0;1.0;;0.0;;;;;;;
USA;3/02/2020;10.0;1.0;;0.0;;;;;;;
USA;4/02/2020;13.0;3.0;;0.0;;;;;;;
USA;5/02/2020;17.0;4.0;;0.0;;;;;;;
USA;6/02/2020;19.0;2.0;;0.0;;;;;;;
USA;7/02/2020;19.0;0.0;;0.0;;;;;;;
USA;8/02/2020;19.0;0.0;;0.0;;;;;;;
USA;9/02/2020;20.0;1.0;;0.0;;;;;;;
USA;10/02/2020;20.0;0.0;;0.0;;;;;;;
USA;11/02/2020;20.0;0.0;;0.0;;;;;;;
USA;12/02/2020;20.0;0.0;;0.0;;;;;;;
USA;13/02/2020;20.0;0.0;;0.0;;;;;;;
USA;14/02/2020;22.0;2.0;;0.0;;;;;;;
USA;15/02/2020;23.0;1.0;;0.0;;;;;;;
USA;16/02/2020;24.0;1.0;;0.0;;;;;;;
USA;17/02/2020;24.0;0.0;;0.0;;;;;;;
USA;18/02/2020;24.0;0.0;;0.0;;;;;;;
USA;19/02/2020;26.0;2.0;;0.0;;;;;;;
USA;20/02/2020;31.0;5.0;;0.0;;;;;;;
USA;21/02/2020;34.0;3.0;;0.0;;;;;;;
USA;22/02/2020;35.0;1.0;;0.0;;;;;;;
USA;23/02/2020;40.0;5.0;;0.0;;;;;;;
USA;24/02/2020;48.0;8.0;;0.0;;;;;;;
USA;25/02/2020;48.0;0.0;;0.0;;;;;;;
USA;26/02/2020;52.0;4.0;;0.0;;;;;;;
USA;27/02/2020;56.0;4.0;;0.0;;;;;;;
USA;28/02/2020;64.0;8.0;;0.0;;;;;;;
USA;29/02/2020;69.0;5.0;1.0;1.0;;;;;;;
USA;1/03/2020;73.0;4.0;1.0;0.0;;;;348.0;;;
USA;2/03/2020;82.0;9.0;2.0;1.0;;;;863.0;;;
USA;3/03/2020;100.0;18.0;2.0;0.0;;;;1480.0;;;
USA;4/03/2020;135.0;35.0;8.0;6.0;;;;2369.0;;;
USA;5/03/2020;186.0;51.0;11.0;3.0;3.59;;;3572.0;;;
USA;6/03/2020;256.0;70.0;13.0;2.0;3.55;;;5095.0;;;
USA;7/03/2020;334.0;78.0;16.0;3.0;3.56;;;6867.0;;;
USA;8/03/2020;464.0;130.0;19.0;3.0;3.46;;;8505.0;;;
USA;9/03/2020;610.0;146.0;24.0;5.0;3.35;;;10902.0;;;
USA;10/03/2020;822.0;212.0;28.0;4.0;3.37;;;14382.0;;;
USA;11/03/2020;1212.0;390.0;32.0;4.0;3.42;;;19214.0;;;
USA;12/03/2020;1709.0;497.0;39.0;7.0;3.41;;;28105.0;;;
USA;13/03/2020;2234.0;525.0;51.0;12.0;3.42;;;39833.0;;;
USA;14/03/2020;2961.0;727.0;58.0;7.0;3.38;;;52880.0;;;
USA;15/03/2020;3929.0;968.0;69.0;11.0;3.42;;;67322.0;;;
USA;16/03/2020;5148.0;1219.0;82.0;13.0;3.58;;;94650.0;;;
USA;17/03/2020;7283.0;2135.0;100.0;18.0;3.61;;;134499.0;;;
USA;18/03/2020;9652.0;2369.0;121.0;21.0;3.6;;;184895.0;;;
USA;19/03/2020;12881.0;3229.0;149.0;28.0;3.56;;;245562.0;;;
USA;20/03/2020;17743.0;4862.0;213.0;64.0;3.47;;;321885.0;;;
USA;21/03/2020;23856.0;6113.0;282.0;69.0;3.3;;;397690.0;;;
USA;22/03/2020;31415.0;7559.0;374.0;92.0;3.18;;;471628.0;;;
USA;23/03/2020;40525.0;9110.0;486.0;112.0;2.98;;;551491.0;;;
USA;24/03/2020;51290.0;10765.0;604.0;118.0;2.75;;;656096.0;;;
USA;25/03/2020;62044.0;10754.0;768.0;164.0;2.57;;;770807.0;;;
USA;26/03/2020;73376.0;11332.0;977.0;209.0;2.43;;;900092.0;;;
USA;27/03/2020;87491.0;14115.0;1278.0;301.0;2.32;;;1035942.0;;;
USA;28/03/2020;105965.0;18474.0;1619.0;341.0;2.22;;;1157698.0;;;
USA;29/03/2020;126309.0;20344.0;2106.0;487.0;2.12;;;1267961.0;;;
USA;30/03/2020;146982.0;20673.0;2662.0;556.0;2.02;;;1391454.0;;;
USA;31/03/2020;173143.0;26161.0;3327.0;665.0;1.94;;;1533740.0;;;
USA;1/04/2020;188679.0;15536.0;3958.0;631.0;1.85;;;1686877.0;;;
USA;2/04/2020;211939.0;23260.0;4940.0;982.0;1.73;;;1848672.0;;;
USA;3/04/2020;240613.0;28674.0;6061.0;1121.0;1.63;;;2017976.0;;;
USA;4/04/2020;270403.0;29790.0;7372.0;1311.0;1.56;;;2165734.0;;;
USA;5/04/2020;302460.0;32057.0;8748.0;1376.0;1.49;;;2304390.0;;;
USA;6/04/2020;334594.0;32134.0;10288.0;1540.0;1.41;;;2447497.0;;;
USA;7/04/2020;361578.0;26984.0;12161.0;1873.0;1.33;;;2627490.0;;;
USA;8/04/2020;390207.0;28629.0;13852.0;1691.0;1.26;;;2795824.0;;;
USA;9/04/2020;419562.0;29355.0;15945.0;2093.0;1.21;;;2969900.0;;;
USA;10/04/2020;453710.0;34148.0;18166.0;2221.0;1.16;;;3142018.0;;;
USA;11/04/2020;488453.0;34743.0;20396.0;2230.0;1.13;;;3352511.0;;;
USA;12/04/2020;521632.0;33179.0;22637.0;2241.0;1.11;;;3464086.0;;;
USA;13/04/2020;553167.0;31535.0;24829.0;2192.0;1.08;;;3578297.0;;;
USA;14/04/2020;580261.0;27094.0;26686.0;1857.0;1.05;;;3740883.0;;;
USA;15/04/2020;605505.0;25244.0;28591.0;1905.0;1.02;;;3913295.0;;;
USA;16/04/2020;630764.0;25259.0;31023.0;2432.0;1.01;;;4097588.0;;;
USA;17/04/2020;655972.0;25208.0;33754.0;2731.0;1.01;;;4296205.0;;;
USA;18/04/2020;687466.0;31494.0;36199.0;2445.0;1.02;;;4463573.0;;;
USA;19/04/2020;717782.0;30316.0;38535.0;2336.0;1.03;;;4597996.0;;;
USA;20/04/2020;746063.0;28281.0;40383.0;1848.0;1.03;;;4758541.0;;;
USA;21/04/2020;772133.0;26070.0;42376.0;1993.0;1.02;;;4979861.0;;;
USA;22/04/2020;798561.0;26428.0;44453.0;2077.0;1.01;;;5215797.0;;;
USA;23/04/2020;824488.0;25927.0;47126.0;2673.0;1.0;;;5449169.0;;;
USA;24/04/2020;854958.0;30470.0;49347.0;2221.0;0.99;;;5708841.0;;;
